,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
3388,Volkswagen,Vento,Volkswagen Vento,10500,1997,6,215000,Diesel,Manuelle,gafsa
3389,Citroen,C3,Citroen C3,35000,2011,6,118000,Diesel,Manuelle,manouba
3390,Volkswagen,Touran,Volkswagen Touran,20000,2004,6,190000,Diesel,Manuelle,monastir
3391,Volkswagen,Vento,Volkswagen Vento,9000,1997,6,300000,Diesel,Manuelle,zaghouan
3392,Volkswagen,Polo,Volkswagen Polo,9500,1998,6,294000,Diesel,Manuelle,bizerte
3393,Volkswagen,Jetta,Volkswagen Jetta,25500,2008,6,201255,Diesel,Manuelle,monastir
3394,Volkswagen,Jetta,Volkswagen Jetta,25500,2008,6,199500,Diesel,Manuelle,monastir
3395,Renault,Scenic2,Renault Scenic2,15000,2009,6,256000,Diesel,Manuelle,mahdia
3396,Citroen,Berlingo,Citroen Berlingo,14200,2009,6,260000,Diesel,Manuelle,monastir
3397,Nissan,Qashqai,Nissan Qashqai,77000,2016,6,85000,Essence,Automatique,bizerte
3398,MERCEDES-BENZ,ClasseB,MERCEDES-BENZ ClasseB,12345,2008,6,204000,Essence,Automatique,medenine
3399,Citroen,C4,Citroen C4,34500,2012,6,150000,Essence,Automatique,monastir
3400,Audi,A3,Audi A3,65500,2014,6,72000,Essence,Automatique,gafsa
3401,Audi,A3,Audi A3,71000,2014,6,72000,Essence,Automatique,gafsa
3402,Ford,FocusC-Max,Ford FocusC-Max,13000,2013,6,122000,Essence,Automatique,tozeur
3403,Chevrolet,Aveo,Chevrolet Aveo,19500,2011,6,167000,Essence,Manuelle,beja
3404,Ford,Focus,Ford Focus,26400,2011,6,203000,Essence,Manuelle,jendouba
3405,Fiat,Tipo,Fiat Tipo,45000,2018,6,87000,Essence,Manuelle,jendouba
3406,Mazda,Mazda3,Mazda Mazda3,25000,2013,6,132000,Essence,Manuelle,gafsa
3407,Chevrolet,Optra,Chevrolet Optra,14500,2008,6,300000,Essence,Manuelle,kairouan
3408,Nissan,Juke,Nissan Juke,77500,2017,6,8000,Essence,Manuelle,sidi-bouzid
3409,Citroen,C4,Citroen C4,27000,2012,6,150000,Essence,Manuelle,kairouan
3410,Citroen,C4,Citroen C4,25000,2012,6,150000,Essence,Manuelle,kairouan
3411,Citroen,C4,Citroen C4,27000,2012,6,144000,Essence,Manuelle,kairouan
3412,Volkswagen,Polo3,Volkswagen Polo3,9000,1995,6,200000,Essence,Manuelle,kef
3413,Dacia,Duster,Dacia Duster,26900,2016,6,11000,Essence,Manuelle,bizerte
3414,Chevrolet,Optra,Chevrolet Optra,20000,2010,6,150000,Essence,Manuelle,manouba
